Dolphin ID,Dolphin Name,Temporary Dolphin Ind,Sex,Sex Certainty,Mother ID,Father ID,Father ID Certainty,Father Notes,Haplotype,Haplotype Certainty,Haplotype Kin ID Based On,Haplotype Kin DNA Sample Based On,Haplotype Researcher,Haplotype Notes,Birth Date Accuracy,Birth Date,Birth Date Earliest,Birth Date Latest,Birth Date Primary Reason,Birth Date Secondary Reason,Birth Date Primary Assigner,Birth Date Secondary Assigner,Birth Notes,Death Date Accuracy,Death Date,Death Date Primary Reason,Death Date Secondary Reason,Death Date Calc Type,Death Date Primary Assigner,Death Date Secondary Assigner,Death Notes,Weaning Date Accuracy,Weaning Date,Weaning Date Primary Reason,Weaning Date Secondary Reason,Weaning Date Calc Type,Weaning Date Primary Assigner,Weaning Date Secondary Assigner,Weaning Age Known,Weaning Notes,Last Seen Year,Dolphin Notes
LNC,LANCEARMSTRONG,False,,,LIF,,,,,,,,,,MONTH ESTIMATE,2005-12-01,,,INFANT FIRST SIGHT,,JM,,YOY (MUST BE DEC BIRTH BECAUSE OF SIF'S DEATH AND TIME FOR LIF TO GET PREGNANT),MONTH ESTIMATE,2007-07-16,DEAD PREWEANING,,MIDPOINT,JM,,LNC with LIF in July 2006.  LIF was sighted without LNC and with males in July 2008.,,,,,,,,DIED PREWEANING,,2006,
LNS,LINUS,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1978-11-01,1975-11-01,1980-11-01,SSSS,,EK,JM,,,,,,,,,,,,,,,,,,,2004,
LNT,LINDT,False,MALE,HIGH,GOD,,,haplotype assigned based on haplotype of mother,A,,,,,,MONTH ESTIMATE,2007-11-01,2007-09-01,2008-01-01,,,JM,,,,,,,,,,,MONTH ESTIMATE,2012-05-06,,,MIDPOINT,SAS,,YES,LNT with GOD but not in bp on 11-Dec-11,,"EK est 1-2 yrs, but must have been yoy based on sighting dates"
LNX,LENOX,True,,,,,,,,,,,,,YEAR ESTIMATE,1991-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,
LOC,LOCKJAW,False,,,JAB,,,,,,,,,,MONTH ESTIMATE,1995-11-01,,,SPRING SUMMER YOY,MOTHER FIRST SIGHT WITH CALF,RCC,,"ESTIMATED 95-96 BABY, SMALL NO FETAL LINES",,,STOPPED SIGHTING POST WEANING,,,,,,YEAR ESTIMATE,2000-05-31,REDUCED MC ASSOCIATION,GAP,MIDPOINT,JM,,NO,"SEEN WHEN 3, BUT STILL WITH MUM, NOT SEEN SINCE 98",1998,
LOD,LODENT,False,MALE,HIGH,,,,,,,,,,,,1978-11-01,,,SSSS,91CAT,,,,,,,,,,,,,,,,,,,,,1989,
LOG,LOGGY,False,,,TRE,,,haplotype assigned based on haplotype of mother,A,,,,,,WEEK ESTIMATE,2001-05-15,,,INFANT FIRST SIGHT,SSSS,JM,,"TINY WITH FETAL LINES, NO MORE THAN 6 WKS.SWIMMING IN ECH",MONTH ESTIMATE,2002-05-01,,,DEFAULT DATE,JM,,TRE LOG not seen since 27-sep-01,,,,,,,,DIED PREWEANING,TRE LOG NOT SEEN SINCE 27-SEP-01,2002,
LOL,LOLLY,False,FEMALE,HIGH,LIC,,,haplotype assigned based on haplotype of mother,A,,,,,,DAY ESTIMATE,1999-03-05,,,INFANT FIRST SIGHT,,MRH,,"UNCOORD SWIM, CORK UP, FOLDS; NO BP SEEN; TROUBLE SUBMERGNG OCCASIONALLY",MONTH ESTIMATE,2000-02-02,,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,2000,
LOO,LOOPY,False,FEMALE,HIGH,WAC,,,haplotype assigned based on haplotype of mother,A,,,,,,MONTH ESTIMATE,2010-11-01,2010-09-01,2011-02-01,SPRING SUMMER YOY,,JM,,SpringSummerYoy based on photo and later observations,,,,,,,,,MONTH ESTIMATE,2019-01-16,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,LOO seen in bp 31Aug18 by TCC; WAC seen without LOO on 4Jun19 by JM,,
LOS,LOSER,False,UNKNOWN,,LEN,,,,A,,,,,,MONTH ESTIMATE,2014-01-10,2013-11-23,2014-02-27,INFANT FIRST SIGHT,,JM,,,DAY ESTIMATE,2014-03-31,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,,,,Entered by CBK
LOT,LOTUS,False,,,,,,,,,,,,,,1988-11-01,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,1998,
LOU,LOUISE,False,,,,,,,,,,,,,,1977-11-01,,,91CAT,,,,,,,,,,,,,,,,,,,,,,,
LOV,LOVE,False,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1981-11-01,,,ALLIANCE,,,,No speckle or other info to get better age.,YEAR ESTIMATE,2001-05-01,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,EK,JM,,,,,,,,,,,1999,
LRR,LORRY,False,FEMALE,HIGH,LIF,DAG,HIGH,paternity based on snps,,,,,,,DAY ESTIMATE,2018-12-06,2018-12-01,2018-12-10,INFANT FIRST SIGHT,,JM,DIC,"seen by DIC on 13Dec18, lumpy fetal lines in photo, ech",WEEK ESTIMATE,2019-06-07,DEAD BODY,,OTHER,JM,VF,"dead body found 14Jun19 dead approx 1 week, IDed with genetics as LRR, LIF seen 17Jul19 by VF without LRR",,,,,,,,,,,
LSD,LEAFY SEADRAGON,False,,,CLO,,,,E,HIGH,CLO,,,,WEEK ESTIMATE,2019-01-01,2018-12-15,2019-01-15,INFANT FIRST SIGHT,,JM,VF,"no fetal lines, no ech, DIC saw CLO without calf on 13Dec18",MONTH ESTIMATE,2019-12-07,DEAD PREWEANING,,MIDPOINT,JM,,"CLO seen with males and no LSD by DIC on 19Feb20, last seen with LSD 25Sep19",,,,,,,,,,,
LUC,LUCKY,False,MALE,HIGH,,,,,A,,,,,,,1971-11-01,,,SSSS,91CAT,,,,MONTH ESTIMATE,2008-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,,,,,,,,,,,,2007,
LUD,LUDWIG,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1987-11-01,,,ALLIANCE,,JM,,,,,,,,,,,,,,,,,,,,,
LUF,LUFA,False,FEMALE,HIGH,,,,haplotype assigned based on haplotype of offspring,A,,,,,,YEAR ESTIMATE,1974-11-01,1960-11-01,1974-11-01,REPRODUCTIVE AGE,91CAT,,,"We adjusted LUF bday once we realized PHA is her calf, called Bubbles previously.",YEAR ESTIMATE,1994-05-01,OVER 3 YEARS,RARELY SIGHTED,DEFAULT DATE,EK,JM,Only sighted on year by AFR in 1991.,,,,,,,,,,,
LUG,LUGH,False,MALE,HIGH,LIF,,,,,,,,,,YEAR ESTIMATE,1999-11-01,,,GAP,,JM,,NO SIZE INFORMATION,,,,,,,,,YEAR ESTIMATE,2003-04-19,,REDUCED MC ASSOCIATION,MIDPOINT,JM,,NO,RCC HAS PHOTOS: 26-JUL-01 RCS5: 16-19 - LOOK AT THESE FOR A BETTER AGE ESTIMATE,2004,
LUN,LUNAR,False,,,MOT,,,,,,,,,,YEAR ESTIMATE,1987-11-01,,,MOTHER FIRST SIGHT WITH CALF,,JM,,NEED TO CHECK WITH RCC FOR NOTES OF CALF AGE/SIZE,YEAR ESTIMATE,2000-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Fin could have changed but has a distinctive scar on R DF.,YEAR ESTIMATE,1992-07-27,GAP,,,,,NO,"HUGE GAP IN SIGHTINGS, DON'T KNOW WEANING DATE",1998,
LUR,LURCH,False,,,FRA,,,haplotype assigned based on haplotype of mother,A,,,,,,MONTH ESTIMATE,1992-11-01,,,GAP,,JM,,AT LEAST 1.5 YRS. ON 14 MAY 94,YEAR ESTIMATE,1995-06-10,SIGHTING RECORD POOR,BIRTH DATE UNCERTAIN,,JM,,,,1995-06-10,,,,JM,,NO,"MIDPOINT, LARGE GAP COULD BE WEANED OR DEAD",1994,
LYN,LYNX,False,MALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1983-11-01,1973-11-01,1983-11-01,SSSS,,EK,JM,Speckles on lateral side suggest at least 20 in 2003 but probably older. Originally assigned 10 years at first sighting but is older than that.,YEAR ESTIMATE,2012-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Some gaps in sighting record.,,,,,,,,,,2003,
LYR,LYRA,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,2007-11-01,2006-11-01,2008-11-01,SSSS,REPRODUCTIVE AGE,JM,VF,"first seen in 2015 and has now been seen every year since. She was estimated at 7-8 yrs (EK) old at her first sighting on 14-May-15 and 6-8 yrs old on 3-Jun-15 (JM). She was first seen with a calf on Jan 18th, 2021. She was biopsied in 2017 and has no immediate family, and Bungie is her closest relative. Her calf was at least a year old so if she was 12 at first birth she could have been born 1-Nov-07 which would have matched to her being 7.5 at her first sightings",,,,,,,,,,,,,,,,NO,,,formerly known as Unk1427
LZZ,LIZZO,False,,,GAN,,,,A,,RAP,,,,MONTH ESTIMATE,2017-11-01,2016-11-01,2018-02-01,GAP,,JM,,calf looks too big to be less than a year old on 25Sep19; probably 1Nov17 birthdate,,,,,,,,,YEAR ESTIMATE,2020-11-22,REDUCED MC ASSOCIATION,,MIDPOINT,VF,,NO,,,
MAA,MACADAMIA,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,MAC,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1986-11-01,,,ALLIANCE,,SAS,,,YEAR ESTIMATE,2010-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 20-Jul-06,,,,,,,,,,2006,
MAG,MAGNUM,False,MALE,HIGH,MTS,,,,A,,,,,,MONTH ESTIMATE,1994-11-01,,,MOTHER FIRST SIGHT WITH CALF,,JM,,YOY BY PHOTOS (JM),YEAR ESTIMATE,2011-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 8-Feb-08,MONTH ESTIMATE,1999-03-06,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,MIDPOINT,2006,
MAL,MALTESER,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,MARTINI,False,MALE,HIGH,OLI,OCT,LOW,Based on information from halfsiblings with known mothers,A,,,,,,MONTH ESTIMATE,1997-11-01,,,SPRING SUMMER YOY,,JM,,"2 EARLIER SIGHTINGS OF OLIVE (VERY BRIEF-LESS THAN 5 MIN, W/OUT MARTINI ON 28 MAR AND 21 MAY)",,,,,,,,,MONTH ESTIMATE,2001-02-18,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,MIDPOINT,2007,
MAT,MATHIAS,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1980-11-01,1978-11-01,1983-11-01,SSSS,ALLIANCE,EK,,DF speckles in 2003 and in by alliance then.,,,,,,,,,,,,,,,,,,2003,
MAV,MAVERICK,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1997-11-01,1991-11-01,1998-11-01,REPRODUCTIVE AGE,SSSS,JM,,Seems young and first with calf in 2012 (calf born 2011). When sighted in 2003 looks big enough to be around 5 or older. No speckles on DF in 2012.,,,,,,,,,,,,,,,,,,,
MAX,MAXINE,True,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1987-11-01,1982-11-01,1987-11-01,REPRODUCTIVE AGE,SSSS,EK,JM,Not any speckles in 2002 on lateral so we do not think she could be older than 20.,YEAR ESTIMATE,2006-05-01,RARELY SIGHTED,,DEFAULT DATE,EK,JM,Seen once and not very distinctive.,,,,,,,,,,,only sighted in 2002 with older calf but probably seen other times but not id
MAY,MAYHEM,False,,,MUN,,,haplotype assigned based on haplotype of mother,E,,,,,,WEEK ESTIMATE,1990-10-01,,,INFANT FIRST SIGHT,,KAW,,CHECK KAW VIDEO,MONTH ESTIMATE,1991-03-26,,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,1991,
MAZ,MARIZE,False,UNKNOWN,,SUM,,,haplotype assigned based on haplotype of mother,A,,,,,,MONTH ESTIMATE,2011-11-01,2011-09-01,2012-01-01,SPRING SUMMER YOY,,JM,,"large calf, 1-2 years old; could not have been 2012 birth, must have been 2011",,,,,,,,,YEAR ESTIMATE,2017-05-01,SIBLING BIRTH,GAP,DEFAULT DATE,JM,,NO,could have been weaned in 2016,,Entered by CBK
MBE,MAYBENOT,False,,,MUN,,,haplotype assigned based on haplotype of mother,E,,,,,,WEEK ESTIMATE,1995-12-01,,,INFANT FIRST SIGHT,,JM,,NEWBORN WITH FETAL LINES AND SLIGHTLY FLOPPY DORSAL FIN --ID BY JM FROM PHOTOGRAPH,MONTH ESTIMATE,1996-03-14,,,MIDPOINT,JM,,dead,,,,,,,,DIED PREWEANING,,1996,
MCA,MICHELANGELO,False,UNKNOWN,,SLT,,,maternal relative,A,,,,,,DAY ESTIMATE,2013-11-23,2013-11-20,2013-11-27,,,JM,,,MONTH ESTIMATE,2014-03-17,DEAD PREWEANING,,MIDPOINT,JM,,probably died younger based on calf condition,,,,,,,,,,,2 days-1 wk at first sighting (JM)
MCE,MACE,False,UNKNOWN,,SCY,,,,,,,,,,YEAR ESTIMATE,1999-11-01,,,,,SAS,,no age info; mom with males at first sight,YEAR ESTIMATE,2006-05-01,UNCERTAIN SURVIVAL STATUS PREWEANING,OVER 3 YEARS,DEFAULT DATE,EK,JM,Distinctive chopoff so we think dead but do not know if made it to weaning.,,,,,,,,,,,
MCL,MARCEL,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1993-11-01,,,SSSS,,SAS,,assigned 8 years because called juvenile at first sight,,,,,,,,,,,,,,,,,,,assigned 8 years because called juvenile at first sight
MCM,MCMANUS,True,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1993-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,
MCR,MOONCRATERS,False,,,,,,,,,,,,,,1973-11-01,,,91CAT,,,,,,,,,,,,,,,,,,,,,,,
MCY,MERCURY,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1979-11-01,1965-11-01,1984-11-01,SSSS,,JM,,very heavily speckled in 09,YEAR ESTIMATE,2014-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Distinctive.,,,,,,,,,,,
MDC,MAD CADDY,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1983-11-01,1978-11-01,1983-11-01,REPRODUCTIVE AGE,SSSS,JM,,Has class 2 speckles on Right DF 2003. Also had first calf in 1994. Speckles on DF suggest she is probably 20-25 in 2003.,YEAR ESTIMATE,2014-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 4-Aug-09 and would be over 30yrs old now,,,,,,,,,,,seen with large calf in 2003 so calf born about 2000; possibly an old female weaning mad hatter late because she was still with mdh in 2006.
MDH,MAD HATTER,False,UNKNOWN,,MDC,,,,,,,,,,YEAR ESTIMATE,2000-11-01,1999-11-01,2001-11-01,,,JM,,,,,,,,,,,YEAR ESTIMATE,2007-05-01,,,DEFAULT DATE,SAS,,NO,Neither MDC nor MDH has been sighted since 29-Sep-06 MK,,calf looks large from photo so guess its about 2.5y but also bp with mdc in 2006
MDM,MADMAN,False,UNKNOWN,,MDC,,,,,,,,,,YEAR ESTIMATE,1995-05-02,1994-11-01,1995-11-01,MOTHER FIRST SIGHT WITH CALF,,EK,JM,calf with a chop-off looks about 1-2 years from photos at first sighting,YEAR ESTIMATE,2001-05-01,UNCERTAIN SURVIVAL STATUS PREWEANING,OVER 3 YEARS,DEFAULT DATE,,,"Calf distinctive and not sighted again so not sure if survived to weaning or not, but likely died soon after if was weaned.",,,,,,,,NO,,,
MDN,MIDNIGHT,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDP,MIDPOINT,False,,,,,,,,,,,,,,1975-11-01,,,ASSIGNED 10 YRS,91CAT,,,,,,,,,,,,,,,,,,,,,,
MED,MEDUSA,False,MALE,HIGH,LAS,,,,E,,,,,,YEAR ESTIMATE,1984-11-01,1981-11-01,1985-11-01,SSSS,ALLIANCE,EK,VF,Originally assigned 10 years with a 1986 bday. But speckles and consortship data suggest he is older.,YEAR ESTIMATE,2018-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 17-Sep-15 and over 30yrs old,YEAR ESTIMATE,1988-05-01,SIBLING BIRTH,,DEFAULT DATE,VF,JM,NO,"based on ARN birthdate, but MED birthdate is not certain enough",2004,mother assigned via genetics
MEG,MEGABYTE,False,,,BYT,,,haplotype assigned based on haplotype of mother,H,,,,,,WEEK ESTIMATE,2003-11-18,,,INFANT FIRST SIGHT,,JM,,MARK BENSON SAW DISTINCT STRIPES OR FOLDS IN NOV.,MONTH ESTIMATE,2005-05-13,,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,2005,
MEL,MELODY,False,,,,,,,,,,,,,,1979-11-01,,,SSSS,91CAT,,,,,,,,,,,,,,,,,,,,,,
MEO,MEOW,True,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1994-11-01,1993-11-01,1995-11-01,REPRODUCTIVE AGE,SSSS,EK,JM,We do not think she had calf ROR and that PURR is her first calf.  She looks clean speckle wise so bday is pretty work. We think ROR was really ORY in social BP from 2004 sighting. Her first calf was PURR and her speckles match repro age estimate.,,,,,,,,,,,,,,,,,,,Earliest DOB assigned assumed 33 at birth of PRR. But bday assigned as default of 10 yr at first sighting by rcc in 2003. she is likely in our records as a juvie from before that. probably not that old given her fin/appearance.
MER,MERAPI,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1976-11-01,1975-11-01,1976-11-01,SSSS,REPRODUCTIVE AGE,EK,JM,Young at first sighting.,MONTH ESTIMATE,1989-05-01,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,EK,JM,RAS might have seen 26Dec88 but no survey record.,,,,,,,,,,1988,
MES,MESRINE,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1991-11-01,,,ASSIGNED 10 YRS,,JM,,,,,,,,,,,,,,,,,,,,,
MET,METRONOME,False,UNKNOWN,,RHY,,,maternal relative,D,,,,,,MONTH ESTIMATE,1998-11-01,1998-09-01,1999-02-01,SPRING SUMMER YOY,GAP,JM,,MK and PB thought her calf was a yoy.,MONTH ESTIMATE,1999-10-01,DEAD PREWEANING,SIBLING BIRTH,BEFORE SIBLING BIRTH,EK,,Since BES born springsummer 2000 then MET had to die soon after sighting for RHY to get pregnant so quickly.,,,,,,,,,,,We discovered this calf by going back through film and sightings although RHY was given different names at different times by PB and MK. So we used film to be sure that we had the real RHY to determine she had her first calf in 1998. No pics of calf but it died.
MEY,MARLEY,False,MALE,HIGH,REG,,,,D,,,,,,MONTH ESTIMATE,2001-11-01,,,SPRING SUMMER YOY,,BLS,,FIRST FOCAL BY BLS; YOY,MONTH ESTIMATE,2010-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Fin could have changed but he has a distinctive scar on right side DF.,MONTH ESTIMATE,2004-09-14,SIBLING BIRTH,,,JM,,YES,MIDPOINT BETWEEN LAST SIGHT WITH MOM AND ESTIMATED BIRTHDAY OF NEXT CALF (DLO),2004,
MFC,MALEFICENT,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1990-11-01,1983-11-01,1991-11-01,REPRODUCTIVE AGE,SSSS,EK,JM,No obvious speckles on DF in 2003 but has a couple low on peduncle.,,,,,,,,,,,,,,,,,,,
MFY,MAYFLY,False,UNKNOWN,,JBG,,,,,,,,,,MONTH ESTIMATE,2002-11-01,2002-09-01,2003-01-01,,MOTHER FIRST SIGHT WITH CALF,RCC,,,,,UNCERTAIN SURVIVAL STATUS PREWEANING,GAP,,,,,,,,,,,,NO,,,
MGC,MAGIC,False,MALE,HIGH,MOU,ORB,LOW,SNPs one parent.,A,,,,,,DAY ESTIMATE,2011-10-20,2011-10-18,2011-10-21,,,EK,,,,,,,,,,,WEEK ESTIMATE,2015-05-11,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,,,"had folds and was lumpy, df trailing edge wavy, sunken at neck, corking up and chin-slapping, mostly in ech, few by eye, bp not seen, was mnd a little from mum with YTI, think its 2-5 days old"
MGG,MAGGIE,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1987-11-01,1983-11-01,1987-11-01,REPRODUCTIVE AGE,SSSS,EK,JM,No speckles on DF or on ped lat in 2002 photos. Probably Thatcher was her first calf.,YEAR ESTIMATE,2008-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Sighted 2001 to 2006 but not before or after. One year gaps.,,,,,,,,,,2004,
MGL,MANGLE,False,MALE,HIGH,,,,,C,,,,,,YEAR ESTIMATE,1981-11-01,1971-11-01,1981-11-01,SSSS,,EK,JM,,YEAR ESTIMATE,2007-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Distinctive. Definitely gone.,,,,,,,,,,2004,
MGU,MERINGUE,False,MALE,HIGH,CSK,,,,,,,,,,MONTH ESTIMATE,2010-11-01,,,,,EMP,,,MONTH ESTIMATE,2014-05-01,MOTHER CALF NOT SIGHTED SINCE,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,EK,JM,Unknown if calf died while still dependent or not as both disappeared together.,,,,,,,,,Could have been weaned but mother and calf disappeared together in 2013.,,"being evasive but estimated about 1 year, about same size as HES"
MIC,MICKEY,False,,,MIN,,,haplotype assigned based on haplotype of mother,A,,,,,,MONTH ESTIMATE,2004-01-01,,,INFANT FIRST SIGHT,,QAG,,"DF ERECT, VERY WAVY TRAILING EDGE, NO FETAL STRIPES, NORMAL WEIGHT, V. SLIGHT CHIN-SLAP SURFACINGS (SEE 1ST SIGHT SHEET)",WEEK ESTIMATE,2004-04-18,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,2004,
MID,MIDGIE,False,MALE,HIGH,MOZ,,,,E,,,,,,MONTH ESTIMATE,1989-11-01,1989-09-01,1990-01-01,SPRING SUMMER YOY,,AKC,,DOES NOT LOOK LIKE A YOY FROM 91 PHOTOS -AKC. MOZZIE was seen in June 1989 so we think month estimate for birth now. MOZ seen 16Jun89 before birth of Midgie.,MONTH ESTIMATE,2011-05-01,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,EK,JM,,YEAR ESTIMATE,1992-06-03,REDUCED MC ASSOCIATION,GAP,,JM,,NO,MOZ NOT SEEN FOR AWHILE BUT MIDGIE SEEN,2007,
MIG,MIGHTY,False,MALE,HIGH,MOU,PRI,,,A,,,,,,WEEK ESTIMATE,2003-11-15,,,INFANT FIRST SIGHT,,AS,,"DF ERECT, MAY HAVE WAVY TRAILING EDGE, FETAL FOLDS, NORMAL AND CHIN SLAP SURFACING IN BEAUFORT 4, NORMAL WEIGHT, SAME SIZE AS ED",,,,,,,,,MONTH ESTIMATE,2007-12-29,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,,2007,
MIJ,MIJANE,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1979-11-01,1978-11-01,1980-11-01,91CAT,REPRODUCTIVE AGE,JM,,When first id in 1987 MIJ was an older juvenile and considered adult by 1997. So we estimated DOB as 1979.,YEAR ESTIMATE,1995-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,MIJ and HER disappeared together. MIJ had recognizable scar so we think she died.,,,,,,,,,,1994,
MIM,MIMI,False,UNKNOWN,,EED,,,haplotype assigned based on haplotype of mother,D,,,,,,MONTH ESTIMATE,2010-01-01,2009-11-01,2010-02-01,,,EMP,,estimated 5 months at 1st sight,MONTH ESTIMATE,2014-05-01,STOPPED SIGHTING POST WEANING,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,JM,VF,"Last seen 25-May-13 in bp, but was old enough to be weaned",WEEK ESTIMATE,2013-06-03,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,EED seen without MIM 12-Jun-13 by MMW,,"looked 5 months old or so at first sighting.  seems to be doing very well, off on its own a bit and practicing snacking, acting a lot like samu."
MIN,MINI,False,FEMALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1965-11-01,1961-11-01,1966-11-01,SSSS,91CAT,EK,JM,Very speckled in 1989 so thought to be in mid to late 20s.,MONTH ESTIMATE,2009-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,,Seen every year before her death.,,,,,,,,,,2007,
MIS,MISS PIGGY,False,FEMALE,HIGH,,,,,E,,,,,,YEAR ESTIMATE,1981-11-01,1973-11-01,1981-11-01,REPRODUCTIVE AGE,91CAT,EK,JM,Had lateral speckles high on dorsal side.,,,,,,,,,,,,,,,,,,2006,
MJV,MOJAVE,True,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1979-11-01,1971-11-01,1979-11-01,SSSS,REPRODUCTIVE AGE,EK,JM,Heavy lateral speckles and class 2 on DF.,,,,,,,,,,,,,,,,,,,
MLA,MILA,False,,,ASN,,,,H,HIGH,,,,,DAY ESTIMATE,2018-12-10,2018-12-06,2018-12-12,INFANT FIRST SIGHT,,JM,,"fetal folds, df slanted, in ech, synching with mom, looks healthy. Seen 13Dec18 by DIC",MONTH ESTIMATE,2019-03-01,DEAD PREWEANING,,MIDPOINT,JM,,No MLA 19May19 during ASN survey,,,,,,,,,,,
MLM,MILLENIUM,False,,,FCN,,,,,,,,,,YEAR ESTIMATE,2007-11-01,,,GAP,,JM,,older calf,,,MOTHER CALF NOT SIGHTED SINCE,,,,,,YEAR ESTIMATE,2012-05-01,MOTHER CALF NOT SIGHTED SINCE,MOTHER CALF NOT SIGHTED SINCE,DEFAULT DATE,EK,JM,NO,Mother was in consortship at last sighting so if she got pregnant would have weaned mid 2012.,,
MLN,MILAN,False,UNKNOWN,,PRS,,,maternal relative,A,,,,,,MONTH ESTIMATE,2013-12-01,2013-11-19,2014-01-01,INFANT FIRST SIGHT,,JM,MMW,"larger than FHY, smaller than RKS",,,,,,,,,,,,,,,,,,,
MLO,MILO,True,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1995-11-01,,,ASSIGNED 10 YRS,,SAS,,,,,,,,,,,,,,,,,,,,,
MLV,MELVILLE,False,UNKNOWN,,LEV,,,,,,,,,,MONTH ESTIMATE,2008-11-01,2008-09-01,2009-01-01,,,JM,,no age info at first sight but EK saw calf 2-Nov-10 and estimate 1.5 yrs,,,,,,,,,MONTH ESTIMATE,2012-05-01,,,DEFAULT DATE,SAS,,YES,,,"lev seen with males repeatedly in 2004 so likely got pregnant and had a calf 2005, lost it and had new calf 2007 or 2008. No notes on size for mlv but looks 1-2.5 based on photos (jm)."
MMB,MALMESBURY,False,UNKNOWN,,HBB,,,haplotype assigned based on haplotype of mother,C,,,,,,MONTH ESTIMATE,2010-10-15,,,,,JM,,"On 25-Sep-11, Ewa estimated to be about Drenchs age but JM said looks 2.5-3 months old in CCC photos",MONTH ESTIMATE,2013-02-05,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,,,,"looks 2.5-3 months old in photos-JM (unsure of photo dates so went with Ewa's 25-Sep-11 bday estimate ""around Drench's age"")"
MMY,MAYA,False,MALE,,KIY,,,,,,,,,,DAY ESTIMATE,2021-12-01,2021-12-01,2021-12-02,INFANT FIRST SIGHT,,DIC,,Born sometime between 9:10am 1st Dec and 7:30am 2nd of Dec 2021,DAY ESTIMATE,2021-12-27,DEAD PREWEANING,,MIDPOINT,DIC,,last seen on 26th December at 9:39am. Reported gone by DIC on 28th December,,,,,,,,,,,
MNE,MANDELA,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
